#    	x	    f(x)	         f'(x)	    f'(x) 	   f''(x)	    f''(x)
#    	 	         	       analytical    finite    analytical    finite
    -4.442	   462.291	  -547.239	  -546.568	   632.187	   632.096
    -4.440	   461.198	  -545.976	  -545.306	   630.755	   630.663
    -4.438	   460.107	  -544.716	  -544.048	   629.325	   629.234
    -4.436	   459.019	  -543.459	  -542.792	   627.899	   627.808
    -4.434	   457.934	  -542.205	  -541.540	   626.476	   626.385
    -4.432	   456.850	  -540.953	  -540.290	   625.056	   624.966
    -4.430	   455.770	  -539.705	  -539.043	   623.640	   623.549
    -4.428	   454.692	  -538.459	  -537.798	   622.226	   622.136
    -4.426	   453.616	  -537.216	  -536.557	   620.816	   620.726
    -4.424	   452.543	  -535.976	  -535.318	   619.409	   619.319
    -4.422	   451.472	  -534.739	  -534.082	   618.005	   617.915
    -4.420	   450.404	  -533.504	  -532.849	   616.604	   616.515
    -4.418	   449.339	  -532.272	  -531.619	   615.206	   615.117
    -4.416	   448.275	  -531.043	  -530.392	   613.811	   613.723
    -4.414	   447.215	  -529.817	  -529.167	   612.420	   612.331
    -4.412	   446.156	  -528.594	  -527.945	   611.032	   610.943
    -4.410	   445.100	  -527.373	  -526.726	   609.646	   609.558
    -4.408	   444.047	  -526.156	  -525.510	   608.264	   608.176
    -4.406	   442.996	  -524.940	  -524.296	   606.885	   606.797
    -4.404	   441.947	  -523.728	  -523.085	   605.509	   605.421
    -4.402	   440.901	  -522.519	  -521.877	   604.136	   604.049
    -4.400	   439.857	  -521.312	  -520.672	   602.766	   602.679
    -4.398	   438.816	  -520.108	  -519.469	   601.399	   601.312
    -4.396	   437.777	  -518.906	  -518.269	   600.036	   599.949
    -4.394	   436.741	  -517.708	  -517.072	   598.675	   598.588
    -4.392	   435.706	  -516.512	  -515.878	   597.317	   597.231
    -4.390	   434.675	  -515.319	  -514.686	   595.963	   595.876
    -4.388	   433.645	  -514.128	  -513.497	   594.611	   594.525
    -4.386	   432.618	  -512.940	  -512.310	   593.262	   593.177
    -4.384	   431.594	  -511.755	  -511.127	   591.917	   591.831
    -4.382	   430.571	  -510.573	  -509.946	   590.574	   590.489
    -4.380	   429.552	  -509.393	  -508.767	   589.235	   589.150
    -4.378	   428.534	  -508.216	  -507.592	   587.898	   587.813
    -4.376	   427.519	  -507.042	  -506.419	   586.565	   586.480
    -4.374	   426.506	  -505.870	  -505.249	   585.234	   585.149
    -4.372	   425.495	  -504.701	  -504.081	   583.906	   583.822
    -4.370	   424.487	  -503.535	  -502.916	   582.582	   582.497
    -4.368	   423.481	  -502.371	  -501.754	   581.260	   581.176
    -4.366	   422.478	  -501.210	  -500.594	   579.941	   579.857
    -4.364	   421.477	  -500.051	  -499.437	   578.626	   578.542
    -4.362	   420.478	  -498.895	  -498.282	   577.313	   577.229
    -4.360	   419.481	  -497.742	  -497.131	   576.003	   575.920
    -4.358	   418.487	  -496.591	  -495.981	   574.696	   574.613
    -4.356	   417.495	  -495.443	  -494.835	   573.392	   573.309
    -4.354	   416.505	  -494.298	  -493.691	   572.091	   572.008
